,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
2710,2010-07-06,1.8714,1.8684,1.8845,1.8633,1.8633,1.8845,6.75,7.0,6.75,7.0,0.1,0.25
2711,2010-07-07,1.8713,1.8701,1.8842,1.861,1.861,1.8842,6.75,7.0,6.75,7.0,0.1,0.25
2712,2010-07-08,1.8801,1.8746,1.8806,1.8644,1.8644,1.8806,6.75,7.0,6.75,7.0,0.1,0.25
2713,2010-07-09,1.8792,1.8806,1.8924,1.8663,1.8663,1.8924,6.75,7.0,6.75,7.0,0.1,0.25
2714,2010-07-12,1.8785,1.8802,1.8837,1.8659,1.8659,1.8837,6.75,7.0,6.75,7.0,0.1,0.25
2715,2010-07-13,1.8785,1.8787,1.8940000000000001,1.8657,1.8657,1.8940000000000001,6.75,7.0,6.75,7.0,0.1,0.25
2716,2010-07-14,1.8886,1.8766,1.8952,1.8762,1.8762,1.8952,6.75,7.0,6.75,7.0,0.1,0.25
2717,2010-07-15,1.9031,1.8855,1.9040000000000001,1.8812,1.8812,1.9040000000000001,6.75,7.0,6.75,7.0,0.1,0.25
2718,2010-07-16,1.8989,1.8898,1.9072,1.8851,1.8851,1.9072,6.75,7.0,6.75,7.0,0.1,0.25
2719,2010-07-19,1.8965,1.8984,1.9042,1.8883,1.8883,1.9042,6.75,7.0,6.75,7.0,0.1,0.25
2720,2010-07-20,1.8913,1.8996,1.9019,1.8819,1.8819,1.9019,6.75,7.0,6.75,7.0,0.1,0.25
2721,2010-07-21,1.8915,1.8939,1.8988,1.8812,1.8812,1.8988,6.75,7.0,6.75,7.0,0.1,0.25
2722,2010-07-22,1.892,1.8848,1.9063,1.8832,1.8832,1.9063,6.75,7.0,6.75,7.0,0.1,0.25
2723,2010-07-23,1.8954,1.8956,1.8988,1.879,1.879,1.8988,6.75,7.0,6.75,7.0,0.1,0.25
2724,2010-07-26,1.8988,1.8977,1.9075,1.8885,1.8885,1.9075,6.75,7.0,6.75,7.0,0.1,0.25
2725,2010-07-27,1.9002,1.8996,1.9058,1.8905,1.8905,1.9058,6.75,7.0,6.75,7.0,0.1,0.25
2726,2010-07-28,1.8978,1.9022,1.9032,1.891,1.891,1.9032,6.75,7.0,6.75,7.0,0.1,0.25
2727,2010-07-29,1.9052,1.9021,1.9071,1.8929,1.8929,1.9071,6.75,7.0,6.75,7.0,0.1,0.25
2728,2010-07-30,1.902,1.9044,1.9088,1.8911,1.8911,1.9088,6.75,7.0,6.75,7.0,0.1,0.25
2729,2010-08-02,1.9114,1.9024,1.9192,1.8929,1.8929,1.9192,6.75,7.0,6.75,7.0,0.1,0.25
2730,2010-08-03,1.9118,1.9057,1.9142,1.9039,1.9039,1.9142,6.75,7.0,6.75,7.0,0.1,0.25
2731,2010-08-04,1.9049,1.91,1.9151,1.9044,1.9044,1.9151,6.75,7.0,6.75,7.0,0.1,0.25
2732,2010-08-05,1.9077,1.9086,1.9151,1.9047,1.9047,1.9151,6.75,7.0,6.75,7.0,0.1,0.25
2733,2010-08-06,1.9125,1.906,1.9159,1.9055,1.9055,1.9159,6.75,7.0,6.75,7.0,0.1,0.25
2734,2010-08-09,1.9072,1.9080000000000001,1.9134,1.9066,1.9066,1.9134,6.75,7.0,6.75,7.0,0.1,0.25
2735,2010-08-10,1.9049,1.9051,1.9066,1.8947,1.8947,1.9066,6.75,7.0,6.75,7.0,0.1,0.25
2736,2010-08-11,1.8915,1.9035,1.9055,1.8803,1.8803,1.9055,6.75,7.0,6.75,7.0,0.1,0.25
